,AAPL,AIG,AMZN,AXP,BA,BAC,CAJ,CAT,CL,CMCSA,COP,CSCO,CVC,CVS,CVX,DD,DELL,F,GD,GE,GS,GSK,HD,HMC,HPQ,IBM,JPM,K,KMB,KO,LMT,MAR,MCD,MMM,MSFT,MTU,NAV,NOC,NVS,PEP,PFE,PG,R,RTN,SAP,SNE,SNY,TM,TOT,TWX,TXN,UN,VLO,WAG,WFC,WMT,XOM,XRX,YHOO
2009-05-05,126.85,28.51,81.9,24.57,37.82,10.64,32.87,34.85,27.27,14.76,26.69,18.19,9.34,29.74,54.98,23.94,11.47,5.51,46.88,11.16,127.23,23.61,22.91,30.17,33.82,96.04,31.54,37.15,41.17,18.62,65.35,21.56,45.31,51.37,17.28,5.82,42.0,38.55,31.09,42.79,11.67,42.55,26.05,40.52,35.32,27.25,23.33,81.78,38.54,19.96,15.97,16.6,18.05,28.02,21.07,44.45,59.18,5.87,14.74
2009-05-06,126.65,30.33,81.99,25.1,39.13,12.46,33.52,35.37,27.18,14.54,27.48,18.17,9.49,29.89,56.95,23.69,11.5,5.89,47.42,11.65,131.01,23.99,22.78,30.73,33.39,95.42,33.71,36.81,42.05,18.53,66.01,21.5,45.76,51.99,17.28,5.93,43.42,38.75,31.84,42.79,11.5,43.45,27.01,40.59,35.08,27.74,23.56,83.07,39.27,20.47,16.37,16.79,18.7,27.84,24.36,43.61,59.99,6.02,14.85
2009-05-07,123.36,32.14,79.28,24.01,38.53,13.27,33.59,33.53,27.41,14.25,27.18,17.56,9.91,29.73,56.84,22.99,10.71,5.7,46.91,11.9,125.85,23.76,22.4,29.91,31.74,93.57,31.92,36.51,42.65,18.47,65.35,20.34,45.51,51.67,16.87,6.17,40.91,37.69,31.58,42.59,11.71,43.88,26.04,40.47,34.41,27.25,23.68,79.79,39.51,20.29,15.72,18.3,18.06,27.22,22.47,43.95,60.3,5.93,14.8
2009-05-08,123.48,33.13,77.95,26.26,40.57,13.91,34.84,35.05,27.39,14.31,29.15,17.36,10.07,30.04,58.85,23.37,10.46,5.87,48.86,12.38,131.36,23.88,22.31,29.75,31.87,92.57,35.27,36.67,42.85,18.52,67.63,21.21,46.81,52.83,16.96,6.84,41.25,39.01,31.64,42.81,11.9,44.07,26.39,41.15,36.03,27.94,24.25,78.73,41.23,20.66,15.47,18.61,19.23,28.0,25.58,44.17,61.94,6.02,15.15
2009-05-11,123.85,31.32,78.61,24.08,39.59,12.71,33.8,33.98,27.55,14.0,28.04,17.24,10.01,30.48,56.86,22.75,10.66,5.72,47.33,12.09,127.78,23.91,21.81,29.16,32.2,93.85,32.45,36.74,42.6,18.45,65.9,20.73,46.37,51.97,16.87,6.67,40.29,38.04,31.29,42.67,11.7,43.05,24.08,40.63,36.66,26.95,24.02,76.36,40.61,19.98,15.43,18.46,18.0,27.75,24.08,44.6,60.96,5.84,15.54
2009-05-12,118.92,29.83,77.93,23.53,39.04,12.04,34.83,33.66,28.11,13.81,28.25,17.35,9.68,30.84,57.85,23.15,10.84,4.72,48.35,11.66,127.43,24.73,21.55,29.4,32.16,94.8,32.03,36.94,42.8,19.16,66.94,20.12,46.0,52.34,17.37,6.57,40.35,38.13,31.86,42.4,12.34,43.53,24.11,40.81,36.73,26.84,24.09,76.62,41.4,19.37,15.05,19.19,17.44,28.04,23.33,44.83,62.32,5.51,15.1
2009-05-13,114.21,26.37,74.19,22.28,38.02,10.81,33.4,31.91,28.41,13.59,27.71,16.73,9.31,29.88,56.94,22.26,10.58,4.67,48.35,11.0,121.64,24.5,21.72,28.31,31.44,93.27,30.84,36.49,42.5,18.83,66.05,18.86,45.59,50.06,17.25,6.25,36.5,37.34,32.85,42.73,12.62,43.55,22.61,40.24,36.95,25.85,24.64,73.13,40.69,20.02,15.26,19.38,17.05,26.9,21.96,44.31,61.4,5.36,14.52
2009-05-14,117.52,30.33,75.11,22.86,38.45,11.11,33.16,31.9,28.1,13.5,27.8,16.76,9.3,29.87,56.73,22.54,10.57,4.86,48.82,11.11,125.73,24.86,21.46,28.42,32.1,92.16,32.19,37.16,41.68,19.38,66.33,19.16,45.66,50.94,17.52,6.25,37.44,37.69,33.08,43.78,12.68,43.42,23.17,40.09,37.21,26.26,24.52,73.11,40.52,19.75,15.68,19.49,17.57,26.88,23.32,43.48,61.39,5.69,14.76
2009-05-15,117.01,28.35,73.6,22.41,38.06,10.48,34.14,31.6,28.13,13.1,27.3,16.6,9.51,28.8,55.62,22.51,10.62,5.17,48.09,10.96,126.48,24.56,21.34,28.39,32.18,92.46,31.62,36.97,41.64,19.4,65.56,19.13,45.57,50.92,17.66,6.32,36.58,37.11,32.36,43.3,12.41,43.3,23.27,39.28,36.63,26.48,23.95,73.99,40.02,19.28,15.76,19.26,17.2,26.56,22.57,42.64,60.82,5.61,14.91
2009-05-18,121.05,30.16,75.95,24.16,39.28,11.52,34.12,33.41,28.56,13.77,28.28,17.35,10.23,29.31,55.75,23.58,10.93,5.18,48.49,11.48,134.71,25.03,22.76,28.77,32.84,95.38,33.75,37.51,42.92,19.88,66.07,19.93,46.2,52.07,17.99,6.46,40.42,36.81,32.72,44.03,12.56,44.88,23.82,38.47,38.08,26.23,24.54,76.04,41.75,20.4,16.0,19.85,17.29,27.38,24.44,44.21,62.04,5.89,15.17
2009-05-19,121.82,29.83,77.87,22.92,39.5,11.05,34.31,33.31,28.44,13.63,28.52,17.49,10.38,28.93,55.6,23.69,11.18,5.3,49.72,11.67,132.83,25.15,21.55,28.15,33.62,96.23,32.44,37.46,42.22,20.13,66.06,19.94,45.92,51.87,17.85,6.39,40.76,37.27,32.92,44.41,12.48,45.25,24.43,37.89,38.38,26.05,24.27,76.39,41.75,19.73,16.16,19.59,17.78,27.37,23.1,43.71,62.06,6.08,15.18
2009-05-20,120.31,29.34,77.97,22.17,39.46,11.28,34.66,32.98,28.31,13.51,28.7,17.23,10.35,27.9,55.05,23.57,10.81,5.09,49.98,11.73,128.4,25.41,20.85,27.87,31.87,94.9,31.3,37.36,42.38,20.28,67.65,19.72,47.95,51.61,17.91,6.47,40.44,37.95,33.2,44.8,12.49,46.17,24.45,38.13,38.44,26.11,24.8,75.85,42.26,19.28,16.45,20.01,17.85,27.01,22.2,43.34,61.26,6.21,14.96
2009-05-21,118.69,29.67,75.96,22.33,38.32,11.2,33.6,31.43,28.31,13.13,28.03,16.77,10.03,27.72,54.43,22.82,10.48,5.02,48.7,11.28,129.41,25.74,20.02,27.54,31.45,93.78,31.61,37.18,41.89,20.15,66.83,19.46,47.47,50.15,17.42,6.33,38.5,37.15,33.2,44.31,12.26,45.31,23.41,37.24,38.49,25.78,24.61,75.41,41.67,18.86,16.06,20.06,17.14,26.65,22.73,43.49,60.18,6.14,14.87
2009-05-22,117.09,28.02,75.64,21.64,38.01,10.87,33.53,30.34,28.4,12.92,27.86,16.59,9.99,27.61,54.4,23.21,10.5,4.95,48.7,11.16,128.64,25.6,20.0,28.34,31.38,92.93,31.17,37.39,42.19,20.41,66.8,19.46,48.65,49.72,17.36,6.37,37.65,37.07,33.06,44.38,12.37,45.32,23.19,37.06,38.93,25.79,24.55,74.9,41.56,18.74,16.54,20.31,17.09,26.46,22.06,43.62,60.57,6.1,14.98
2009-05-26,125.0,28.02,78.39,22.72,39.09,10.78,34.08,30.95,28.69,13.34,28.27,17.13,10.33,27.93,55.43,23.66,10.78,5.08,49.2,11.41,134.02,26.09,20.82,28.78,31.68,95.79,33.1,37.65,43.36,20.38,68.29,20.72,50.15,51.36,17.88,6.64,38.73,37.82,33.31,44.13,12.42,45.96,23.88,38.01,39.91,26.58,25.18,77.36,42.33,19.28,16.99,20.85,17.3,27.52,23.28,44.28,61.43,6.24,15.28
2009-05-27,127.17,27.36,77.1,21.73,38.57,10.71,32.86,30.99,28.13,12.99,27.91,16.88,9.86,27.11,54.51,23.03,10.76,5.03,48.72,11.07,132.1,26.05,20.41,28.01,31.56,93.88,31.39,37.01,42.17,20.12,67.08,19.89,49.29,49.7,17.69,6.46,38.88,37.04,32.98,43.04,12.12,44.25,23.5,37.68,38.66,25.56,24.57,76.47,41.62,19.01,16.97,20.23,17.52,26.97,21.86,43.68,60.11,6.1,14.94
2009-05-28,129.1,27.53,77.65,22.47,39.23,11.1,33.15,30.59,28.34,12.89,28.63,17.15,9.94,27.72,55.56,23.23,11.11,5.23,49.87,11.24,136.47,25.88,19.86,28.79,31.89,95.48,33.2,37.37,42.52,20.24,68.55,20.33,49.55,50.15,17.97,6.48,40.04,37.35,32.68,43.9,12.14,44.94,23.88,38.1,39.62,25.73,25.13,79.07,42.38,19.46,17.23,20.07,18.17,27.04,22.48,43.88,60.92,6.08,15.09
